ObjectID,Creation Date,Site Type ,Tag,Fish Species,Other - Fish Species,Size,Coded Size,Number of Individuals,Mesohabitat,Other - Mesohabitat,Stream Width (m),Substrate,Substrate Feature,Surface Turbulence ,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation ,Undercut Bank,Instream Cover,Canopy Cover,Depth (cm),Velocity (m/s),Longitude (N),Latitude (W),Notes,,x,y,,Data Changes
134,6/16/2022 21:03,Available,NA,NA,,,,NA,Pool,,17,Boulder,0.15,0,0,0,0,0,0.15,No,33,0,34.538151,111.687562,,-111.6875338,34.53810829,,,
137,6/16/2022 21:17,Available,NA,NA,,,,NA,Pool,,16.604,Boulder,0.05,0,0,0.6,0,0,0.65,Yes,146,NA,34.538182,111.687442,,-111.6874109,34.53819221,,,
140,6/16/2022 21:27,Available,NA,NA,,,,NA,Pool,,11.4,Silt,0,0,0,0.9,0.1,0,1,Yes,>150,NA,34.538192,111.687353,,-111.6873447,34.53793312,,,
141,6/16/2022 21:32,Available,NA,NA,,,,NA,Pool,,11.4,Bedrock,0.3,0,0,0,0,0,0.3,Yes,NA,NA,0,0,,-111.6872863,34.53810923,,,
142,6/16/2022 21:32,Available,NA,NA,,,,NA,Pool,,11.4,Bedrock,0,0,0,0,0,0,0,No,NA,NA,0,0,,-111.6872788,34.53815391,,,
143,6/16/2022 21:33,Available,NA,NA,,,,NA,Pool,,11.4,Boulder,0,0,0,0,0,0,0,Yes,77,0,0,0,,-111.6872887,34.53817271,,,
145,6/16/2022 21:36,Available,NA,NA,,,,NA,Pool,,11.4,Bedrock,0.05,0,0,0,0,0,0.05,No,87,NA,0,0,,-111.6873064,34.53816621,,,
146,6/16/2022 21:37,Available,NA,NA,,,,NA,Pool,,11.4,Bedrock,0,0,0,0,0,0,0,No,50,NA,0,0,,-111.6873097,34.53814736,,,
147,6/16/2022 21:38,Available,NA,NA,,,,NA,Pool,,11.4,Bedrock,0,0,0,0,0,0,0,No,25,NA,0,0,,-111.6873096,34.53814914,,,
148,6/16/2022 21:38,Available,NA,NA,,,,NA,Pool,,11.4,Bedrock,0,0,0,0,0,0,0,No,24,NA,34.538124,111.687358,,-111.6873084,34.53814743,,,
150,6/16/2022 21:42,Available,NA,NA,,,,NA,Pool,,11.506,Silt,0,0,0,0.2,0.1,0,0.3,Yes,126,NA,34.538153,111.687251,,-111.6873052,34.53809685,,,
156,6/16/2022 22:22,Available,NA,NA,,,,NA,Pool,,14.2,Silt,0,0,0,0.05,0.75,0,0.8,Yes,76,0,34.538123,111.587133,,-111.6871838,34.53804448,"Changed Riffle,Pool to Pool based on surrounding hab",,
