,Tag,ObjectID,Stream,Month,Creation Date,Site Type,Stream Width,Mesohabitat,Depth,Velocity,Substrate,Substrate Feature,Surface Turbulence,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation,Undercut Bank,Instream Cover,Canopy Cover,Longitude,Latitude,Notes,Data Change,Species,Weight,Length,Capture Method,Capture Date,Release,Notes.y
113,NA,205,Clear,November,11/19/2022 21:33,Available,9.7,Pool,86,0.08,Gravel,0.2,0,0,0,0,0,0.2,No,34.53799,111.682457,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,NA,206,Clear,November,11/19/2022 21:34,Available,7.2,Pool,81,0.06,Pebble,0,0,0,0,0,0,0,No,34.537915,111.682404,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,NA,207,Clear,November,11/19/2022 21:36,Available,6.8,Pool,63,0.13,Cobble,0,0,0,0,0,0,0,Yes,34.537851,111.682304,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,NA,209,Clear,November,11/19/2022 21:40,Available,9.1,Pool,70,0.02,Cobble,0.25,0,0,0,0,0,0.25,Yes,34.537759,111.682192,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,NA,210,Clear,November,11/19/2022 21:41,Available,8.9,Pool,57,0.01,Gravel,0.2,0,0,0,0,0,0.2,Yes,34.537696,111.682163,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,NA,211,Clear,November,11/19/2022 21:43,Available,9,Pool,55,0.18,Cobble,0.25,0,0,0,0,0,0.25,Yes,34.537667,111.682143,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,NA,213,Clear,November,11/19/2022 21:46,Available,7.3,Run,37,0.25,Gravel,0,0,0,0,0,0,0,No,34.537626,111.68211,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,214,Clear,November,11/19/2022 21:47,Available,7.4,Run,41,0.23,Gravel,0,0,0,0,0,0,0,Yes,34.537585,111.682055,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,NA,215,Clear,November,11/19/2022 21:49,Available,6.4,Riffle,60,0.31,Boulder,0.25,0,0,0,0,0,0.25,Yes,34.53751,111.681943,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,NA,216,Clear,November,11/19/2022 21:50,Available,7,Riffle,48,0.39,Boulder,0.3,0.05,0,0,0,0,0.35,NA,34.537473,111.68188,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,NA,217,Clear,November,11/19/2022 21:52,Available,10.3,Run,48,0.28,Gravel,0,0,0,0,0,0,0,Yes,34.537398,111.681844,NA,NA,NA,NA,NA,NA,NA,NA,NA
