,Tag,ObjectID,Stream,Date,Site.Type,Stream.Width.m,Mesohabitat,Other...Mesohabitat,Depth.cm,Velocity.ms,Substrate,Canopy.Cover,Latitude,Longitude,Notes.x,Other...Mesohabitat.1,x,y,Data.Changes,Boulder,Terrestrial Vegetation,None,Surface Turbulence,Woody Debris,Absent,Aquatic Vegetation,Species,Weight,Length,Capture Method,Capture Date,Release,Notes.y
153,NA,90,Wet Beaver,3/14/2022 0:00,Available,9.7,Pool,NA,>150,NA,Pebble,Yes,-111.670377,34.674005,NA,NA,-111.6702483,34.6740389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,NA,132,Wet Beaver,3/14/2022 0:00,Available,7.24,Riffle,NA,29,1.18,Boulder,Yes,-111.668092,34.672723,NA,NA,-111.6682071,34.6728025,NA,0.7,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,NA,93,Wet Beaver,3/14/2022 0:00,Available,8.22,Riffle,NA,64,0.57,Boulder,No,-111.670048,34.67392,NA,NA,-111.6701062,34.6739575,Confirmed change to boulder with photo (known location),NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,NA,134,Wet Beaver,3/14/2022 0:00,Available,7.78,Riffle,NA,49,2.32,Boulder,Yes,-111.667998,34.672632,NA,NA,-111.6681033,34.6726999,NA,0.4,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,NA,135,Wet Beaver,3/14/2022 0:00,Available,7.91,Riffle,NA,36,0.79,Cobble,No,-111.668008,34.672577,NA,NA,-111.6680508,34.6727037,NA,0.3,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,NA,136,Wet Beaver,3/14/2022 0:00,Available,16,Riffle,NA,24,0.16,Cobble,No,-111.668027,34.672478,NA,NA,-111.6680416,34.6727093,NA,0.3,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,NA,98,Wet Beaver,3/14/2022 0:00,Available,9.5,Riffle,NA,32,0.99,Boulder,Yes,-111.669798,34.673803,NA,NA,-111.6697605,34.6738576,NA,0.25,NA,NA,0.05,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA
161,NA,99,Wet Beaver,3/14/2022 0:00,Available,13,Riffle,NA,33,0.8,Cobble,Yes,-111.669752,34.673737,NA,NA,-111.669737,34.6738188,NA,0.25,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,NA,100,Wet Beaver,3/14/2022 0:00,Available,17,Riffle,NA,40,0.3,Pebble,Yes,-111.669692,34.673768,NA,NA,-111.6696816,34.6737868,NA,0.1,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,NA,142,Wet Beaver,3/14/2022 0:00,Available,14.84,Pool,NA,98,0,Sand,Yes,-111.667825,34.672378,NA,NA,-111.6677244,34.6725309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,NA,143,Wet Beaver,3/14/2022 0:00,Available,12.39,Pool,NA,>150,NA,Gravel,Yes,-111.667667,34.672445,NA,NA,-111.6676716,34.6724419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,NA,104,Wet Beaver,3/14/2022 0:00,Available,15.5,Riffle,NA,21,0.42,Cobble,Yes,-111.669573,34.673613,NA,NA,-111.6694824,34.6736321,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,NA,105,Wet Beaver,3/14/2022 0:00,Available,15.5,Pool,NA,45,0.11,Boulder,No,-111.669492,34.673578,NA,NA,-111.6694985,34.67362,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,NA,147,Wet Beaver,3/14/2022 0:00,Available,6.08,Run,NA,36,0.49,Bedrock,No,-111.667558,34.672443,NA,NA,-111.667487,34.672397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,NA,148,Wet Beaver,3/14/2022 0:00,Available,5.61,Run,NA,30,0,Cobble,Yes,-111.667558,34.672215,NA,NA,-111.6674549,34.6724067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,NA,109,Wet Beaver,3/14/2022 0:00,Available,11.75,Pool,NA,50,0,Bedrock,No,-111.669247,34.67342,NA,NA,-111.6692684,34.6734262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
